Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Waqt da Badshah, 1979-10-05, Action film,"Najma, Sultan Rahi, Chakori, Iqbal Hassan, Kaifee",Azmat Nawaz,Azmat Nawaz,?,Wazir Afzal,?,?,?,
Order, 1979-10-05, Action film,"Neelo, Sultan Rahi, Kaifee, Nazli, Afzaal Ahmad, Seema, Bahar, Jaggi Malik",Zahoor Hussain Geelani,Syed Manzoor Hussain,?,Siddiq Akhtar,?,?,?,
Jail da Badshah, 1979-10-12, Action film,"Najma, Sultan Rahi, Iqbal Hassan, Nazli, Mustafa Qureshi, Adeeb, Habib, Aslam Parvez, Khalid Saleem Mota, Fazil Butt, Jaggi Malik, Changezi, Jahangir Mughal, Tani",Nasir Hussain,"Rahim Daad Khan, Sheikh Sikandar Hayyat, Iftikhar Ahmad Khan",Nasir Adeeb,Salamat Khan,"Rubi, Mushtaq Alvi","Noorjahan, Naheed Akhtar, Afshan, Trannum Naz, Masood Rana",?,
General Bakht Khan, 1979-10-12, Action film,"Neelo, Sultan Rahi, Sudhir, Yousuf Khan, Mohammad Ali",Sarshar Malik,Nosheen Malik,?,Akhtar Hussain Akhian,?,Mehdi Hassan,?,
Nishana, 1979-10-12, Family drama,"Deeba, Habib, Zeenat, Ilyas Kashmiri, Adeeb",Baqar Rizvi,Q. Zaman,?,Tasadduq Hussain,?,?,?,
Dadagir, 1979-10-19, Action film,"Sultan Rahi, Najma, Iqbal Hassan, Khanum, Naghma, Rangeela, Afzaal Ahmad, Adeeb, Changezi, Jaggi Malik, Altaf Khan, Ajmal, Saqi, Taya Barkat, Khalid Saleem Mota, Jamil Bismil, Anita, Amrozia,",M. Haroon Paasha,M. Rafi Akhtar,Mukhtar Gilani,"Bakhshi Wazir, Tafoo","Waris Ludhyanvi, Hazin Qadri, Khawaja Parvez","Noorjahan, Naheed Akhtar, Trannum Naz, Laila Naz, Nadira Iqbal, Azra Iqbal",?,
Dehshat, 1979-11-03, Action film,"Sultan Rahi, Chakori, Kaifee, Inayat Hussain Bhatti, Durdana Rehman, Nanha, Sawan, Romana, Zahir Shah, Altaf Khan, Jaggi Malik, Changezi, Khayyam, Suhail Siddiqi, Shakeel, Munawar Saeed, (Guests: Mohammad Ali, Babra Sharif, Nadeem, Shahid, Ghulam Mohayuddin,  Iqbal Hassan)",M. Anees Bhatti,Altaf Hussain Bhatti,Parvez Munir,Tafoo,Khawaja Parvez,"Noorjahan, Laila Naz, Inayat Hussain Bhatti",M. Latif,
Dubai Chalo, 1979-11-03, Family drama,"Mumtaz, Ali Ejaz, Nanha, Durdana Rehman, Naghma, Iqbal Hassan, Allauddin, Ilyas, Qavi, Hairatangez, Aslam Parvez, Tani, Nasrullah Butt, Abid Kashmiri, Changezi, Aneeta, Malik Anokha, Badiuz Zaman, Mastana, Asim Bukhari, Abbu Shah, Taya Barkat,",Haidar Chodhary,Aisha Shamaila,"Riaz Batalvi, Syed Noor",Tafoo,Syed Noor-Riaz Batalvi,"Noorjahan, Inayat Ali",?,
Gullu Badshah, 1979-11-03, Action film,"Najma, Sultan Rahi, Afzaal Ahmad, Saiqa, Shahnawaz",Younis Rathor,M. Hayat Malik,?,Wajahat Attray,?,?,?,
Iqbal-e-Jurm, 1979-11-03, Action film,"Najma, Sultan Rahi, Asif Khan, Chakori, Mustafa Qureshi",Naseem Haidar,S. Shams Aalam,?,Wajahat Attray,?,?,?,
Sohni Dharti, 1979-11-03, Patriotic film,"Najma, Iqbal Hassan, Shehla Gil, Mustafa Qureshi, Afzaal Ahmad",M. Basheer,Taaj Mohammad Khan,?,Qadar Ali,?,?,?,
Dostan Jo Piyar, 1979-11-03, Family drama,"Khanum, Anwar Iqbal, Shehzadi, Shakeela",Samad Sheikh,Sher M. Laashari,?,Zafar Ali,?,?,?,
Gehray Zakham, 1979-11-03, Family drama,"Najma, Asif Khan, Mustafa Qureshi, Musarrat Shaheen",Mumtaz Ali Khan,Abdullah Jan,?,Kemal Ahmad,?,?,?,
Miss Hong Kong, 1979-11-03, Overseas made action film,"Babra Sharif, Asif Raza Mir, Usman Pirzada, Nanha, Munawar Saeed, Nasir Chann, Tariq Aziz, Fakhri Ahmad, Nayyar Sultana",Shamim Ara,Shamim Ara,Syed Noor,M. Ashraf,Masroor Anwar,"Naheed Akhtar, Mehnaz, Mehdi Hassan, Shoukat Ali, Rajab Ali, A. Nayyar",Kamran Mirza,
Nawabzadi, 1979-11-03, Family drama,"Rani, Shahid, Kaveeta, Aslam Parvez, Mustafa Qureshi, Allauddin, Darpan, Niirala, Ladla, Rafiq, Khalid Salem Mota, Asifa",Hassan Tariq,"Baber Bilal, Allauddin","Zakir Hussain, (screenplay, dialogues: Agha Hassan Imtisal)",Wajahat Attray,"Shevan Rizvi, Khawaja Parvez, Taslim Fazli","Naheed Akhtar, Mehnaz, Afshan, Ahmad Rushdi, Ghulam Abbas",Babar Bilal,Ass. director: Rattan Kumar
