Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Teri Yaad, 1948-08-07, Family drama,"Asha Poslay, Nasir Khan, Najma, Jahangir Khan, Nazar, Rani Kiran, Sardar Mohammad, Zubaida, Master Ghulam Qadir",Daud Chand,"Diwan Sardari Lal, D.P. Singh",Khadim Myhayyuddin,Inayat Ali Nath (ass: Anwar Kareem Daad),"Qateel Shafai, Tanvir Naqvi","Munawar Sultana, Asha Poslay & Ali Bux Zahoor",Raza Mir,"Co-producer: D.P. SinghaSound: Z.A. Baig (ass. Mushtaq Rizvi, M. Eidtor: M.A. Latif (ass. S.K. Hussain)Art, Setdesighner: Chodhary Sultan (ass: Ghulam Nabi, Fazal Ahmad)Processing: Pyaray Khan (ass. Waris, Shamim, Sunnay Laboratory)Studio Engineer: Latif DurraniProduction cheif: Ram DialProduc. Manager: M. SafdarMackup: Latif HussainDresses: Altaf HussainElectrician: Dost Mohammad (ass. Rafiq Sarhadi, M. Ashraf)Publicity: Hamid, MerajStill Photography: AbdullahStudio: Pancholi Art Studio, Lahore"
Shahida, 1949-03-18, Family drama,"Shamim, Nasir Khan, Shakir, Hamaliawala, Begum Parveen, G.N. Butt, Nafees Begum, Rani Mumtaz, Khalil Aftab",Luqman (ass. Anwar Kemal Pasha),M. Akbar Shah,"Hakim Ahmad Shuja, Anwar Kemal Pasha","Master Ghulam Haidar, G.A. Chishti",Hakim Ahmad Shuja,"Munawar Sultana, Zahida Parveen, Ali Bux Zahoor, Abdul Shakoor Bedal",Ahmad Ullah Ajmeri,
Hichkolay, 1949-05-06, Family drama,"Najma, Sudhir, Nazar, Ajmal, Akhtari, Maya Devi, M. Ismael, Zahoor Shah",Daud Chand,Sheikh Mohammad Hussain,Saifuddin Saif,Master Inayat Hussain,Saifuddin Saif,"Munawar Sultana, Iqbal Begum, Naseem Akhtar, Ali Bakhsh Zahoor",A. Hameed,
Sachai, 1949-05-13, Family drama,"Sawran Lata, Nazir, Majeed, Maya Devi, Azad, Chodhary Sultan, Ayisha, Nadira, Zohra, Siddiqi","Nazir, Murtaza Jeelani",Sawarn Lata,Chodhary Sultan,G.A. Chishti,"Tanvir Naqvi, Zafar Mir, Chodhary Sultan Ahmad","Munawar Sultana, Inayat Hussain Bhatti",Jafar Bukhari,
2 Kinaray, 1949-07-28, Family drama,"Akhtari, Suresh, Kalavati, Zarif",Ashiq Bhatti,Rashid Butt,?,Fateh Ali Khan,Tufail Hoshiarpuri,"Munawar Sultana, Malika Pukhraj, Ameer Bai, Ali Bux Zahoor, A.R. Aruja, Imdad Hussain",?,
Mundri, 1949-11-18, Family drama,"Ragni, Ilyas Kashmiri, Noor Mohammad Charlie, Zeenat, Ghulam Mohammad, Saleem Raza, Maya Devi, G.N. Butt, Jameel, Qamar Sarhadi, Cukko, M.J. Rana, Mirza Sultan Baig (Nizam Din)",Daud Chand (ass. M.J. Rana),Agha G.A. Gull,"Zahir Mirza (ass. F.D. Sharaf, Mirza Sultan Baig, M.J. Rana)",G.A. Chishti,"Tanvir Naqvi, F.D. Sharf, G.A. Chishti","Munawar Sultana, Zahida Parveen, Iqbal Bano, Naseem Akhtar, Qadir Farid, Noor Mohammad Charlie",Jafar Bukhari,
Ghalt Fehmi, 1950-03-10, Family drama,"Asha Poslay, Nazar, Jahangir Khan, Rani Kiran, Sheikh Iqbal, Saleem Raza, Ghulam Qadir, Parveen Begum, Irshad Begum, Zubaida, Mehpara",Ahmad Ullah Ajmeri,Deevan Sardari Lal,?,Inayat Ali Nath,"Tufail Hoshiarpuri, Arsh Lakhnavi, Inayat Ali Nashiz","Munawar Sultana, Iqbal Bano, Iqbal Begum Lyallpuri, Asha Poslay, Nazar",?,
Pheray, 1949-07-28, Romantic & musical film,"Sawran Lata, Nazir, Nazar, Zeenat, Maya Devi, Allauddin, M. Ismael, Baba Alam Siaposh",Majeed,Saida Bano,Baba Alam Siaposh,G.A. Chishti,"Baba Alam Siaposh, G. A. Chishti","Munawar Sultana, Inayat Hussain Bhatti",A. Hameed,
Jahad, 1950-01-07, Family drama,"Zarina, Zahoor Raja, Reshma, Rufi",Zahoor Raja,Zahoor Raja,?,Karim Dad,?,?,?,
Beli, 1950-02-04, Family drama,"Shahina, Santosh, Sabiha, M. Ismael",Masood Parvez,Masood Parvez,Saadat Hassan Manto,Rasheed Attray,"Ahmad Rahi, Qayyum Nazar, Masood Parvez, Nazim Panipatti, Baba Alam Siaposh, Amrita Pritam","Munawar Sultana, Pukhraj Pappu, Zahida Parveen, Ali Bux Zahoor",?,
Laray, 1950-02-16, Romantic & musical film,"Sawran Lata, Nazir, Nazar, Zeenat, Allauddin, Baba Alam Siaposh",Majeed (supervisor: Nazir),Saida Bano (Sawarn Lata),Baba Alam Siaposh,G.A. Chishti,"Baba Alam Siaposh, G.A. Chishti","Munawar Sultana, Inayat Hussain Bhatti",Raza Mir,Sound: Afzal Hussain
Hamari Basti, 1950-03-18, Family drama,"Najma, Sabiha, Nazir, Zarif, Shah Nawaz",Shakoor Qadri,Agha Ghulam Mohammmad,?,Feroz Nizami,?,?,?,
2 Aansoo, 1950-04-07, Social film,"Shamim, Santosh, Sabiha, Ajmal, Asif Jah, Shah Nawaz, Hamaliawala, Gulshan Ara, Azad, Allauddin",Murtaza Jeelani & Anwar Kemal Pasha,Sheikh Latif,Hakim Ahmad Shujaa (dialogues & screenplay: Anwar Kemal),Mubarak Ali Khan (ass. Feroz Ahmad),"Talib Badayuni, Saghir Siddiqi, Hazin Qadri, Qateel Shafai","Munwar Sultana, Zeenat Begum, Salma Begum, Ustad Barkat Ali & Allauddin",Nakhuda Nizam,"Assistent director: Jafar Malik, Asif Jah and Agha Hussaini"
Judai, 1950-06-02, Family drama,"Shahina, Sadiq Ali, Nazar, Zeenat",Amin Malik,Arif Shah,?,Hassan Latif,?,?,?,
Be-Qarar, 1950-07-17, Family drama,"Ragni, S. Gul, Charlie, Shammi, Majeed",Nazir Ajmeri,S. Gul,?,Master Ghulam Haidar,Nazir Ajmeri,?,?,
Shammi, 1950-09-19, Family drama,"Shammi, Santosh, Shola, Bibbo, Ghori, Ghulam Mohammad, Ajmal, M. Isamel, Fazal Shah, Maya Devi",Munshi Dil,Malika Pukhraj,Baba Alam Siaposh,Master Inayat Hussain,"Tanvir Naqvi, Qateel Shafai, Munshi Dil, Tufail Hoshiarpuri, Baba Alam Siaposh, Saghir Siddiqi, Iqbal Saifpuri","Munawar Sultana, Zeenat Begum, Pukhraj Pappu, Iqbal Begum, Naseem Akhtar, Inayat Hussain Bhatti",Ahmad Ullah Ajmeri,
Kundan, 1950-11-04, Family drama,"Ragni, Shakir, Hamaliya Wala, Azad",Khadim Mohayuddin,Mian Aslam,?,Lal Mohammad Sabri,?,?,?,
Anokhi Dastan, 1950-11-18, Family drama,"Sawran Lata, Nazir, Nazar, M. Ismael",Nazir,Nazir,?,G.A. Chishti,"Tanvir Naqvi, Saghar Siddiqi","Munawar Sultana, Zahida Parveen, Inayat Hussain Bhatti",?,
Gabhroo, 1950-12-21, Family drama,"Shamim, Santosh, Allauddin, Ajmal, Asif Jah",Anwar Kemal Pasha,Meraj Chodhary,Hakeem Ahmad Shujaa,G.A. Chishti,Baba Alam Siaposh,"Munawar Sultana, Inayat Hussain Bhatti",?,
Amanat, 1950-12-21, Family drama,"Gulshan Ara, Darpan, Yasmin, Nazar",Haidar Shah,Amin Shah,?,Nazir Jafri,?,?,?,
Akeli, 1951-03-03, Family drama,"Ragni, Santosh, Neena, Nazar, Noor Mohammad Charlie",M. M. Mehra,Krishan Kumar,?,Master Ghulam Haidar,?,?,?,
Eid, 1951-03-03, Family drama,"Fozia, Najmul Hassan, Zarina, Suresh",Najm-ul-Hassan,Najm-ul-Hassan,?,S. D. Batish,?,?,?,
Chann Way, 1951-03-29, Romantic & musical film,"Noorjahan, Santosh, Jahangir Khan, Yasmin, Ghulam Mohammad, Saleem Raza, Sultan Khoost, Zahoor Shah, Nafees Begum, Ghulam Qadir, Irshad, Nayab Sarhadi, Nazir Bedi, Faqiir Mohammad, A.R. Kashmiri",Noorjahan (supervisor: Syed Shoukat Hussain Rizvi),Shoukat Hussain Rizvi,Syed Imtiaz Ali Taj (dialogues: Ehsan),Feroz Nizami,F.D. Sharf,"Noorjahan, Ali Bux Zahoor",Jafar Bukhari (Ass. Nabi Ahmad),
But Tarash, 1951-05-03, Family drama,"Manorma, Pran, Arshad",?,?,?,?,?,?,?,
Director, 1951-05-03, Family drama,"Zaib, S. Gul, Rakhshi, Hafeez",Shafqat Shah,Shafqat Shah,?,Amar Naath,?,?,?,
Ham Watan, 1951-05-03, Family drama,"Sahira, Farraukh, Ajmal, Maya Devi",Farrukh Bukhari,Farrukh Bukhari,?,Pardesi,?,?,?,
Dilbar, 1951-08-04, Family drama,"Shamim, Anwar Kemal, Asif Jah, Ajmal",Anwar Kemal Pasha,Anwar Kemal,?,G.A. Chishti,Baba Alam Siaposh,Inayat Hussain Bhatti,?,
Ghairat, 1951-08-04, Family drama,"Sabiha, Masood, Ghulam Mohammad, Allauddin",Amin Malik,M.A. Saqi,?,Talib Hussain Jafri,"Tanvir Naqvi, Muzaffar Tahir","Zeenat Begum, Iqbal Bano, Salma Begum, Raza, S.M. Babul",?,
Pinjra, 1951-09-08, Family drama,"Sabiha, Masood, Azad, Ilyas Kashmiri, Amin Malik",Amin Malik,Amin Malik,?,Hassan Latif,?,?,?,
Billo, 1951-12-04, Family drama,"Najma, Darpan, M. Ismael, Zeenat, Zarif, Mirza Sultan Baig (Nizam Din)",Amjad Hussain,Aslam Hayat,Gul Zaman,G.A. Chishti,"F.D. Sharf, Qamar Zaman","Zeenat Begum, Iqbal Begum, Zahida Parveen, Ali Bux Zahoor",Ahmad Ullah Ajmeri,
Bheegi Palken, 1952-01-02, Family drama,"Sawran Lata, Nazir, Nazar, Allauddin, Inayat Hussain Bhatti (guest)",Sharif Nayyar,Nazeer,?,Master Ghulam Haidar,"Tanvir Naqvi, Qateel Sharfai, Tufail Hoshiarpuri, Mushir Kazmi","Munawar Sultana, Inayat Hussain Bhatti",?,
Shola, 1952-02-01, Family drama,"Irshad, Masood, Sadiq Ali, Maya Devi, Abbu Shah, G.N. Butt",Khadim Mohayuddin,Babu Latif,Taj Chodhary,"Fateh Ali Khan, Master Ghulam Haidar","Taj Chodhary, Tufail Hoshiarpuri","Zeenat Begum, Pukhraj Pappu, Salma Begum, Imdad Hussain",Jafar Bukhari,
Dopatta, 1952-03-29, Romantic & musical film,"Noorjahan, Ajay Kumar, Sudhir, Yasmin, Azad, Bibbo, Ghulam Mohammad",Sabtain Fazli,Aslam Lodhi,Hakim Ahmad Shuja,Feroz Nizami,Mushir Kazmi,Noorjahan,Jafar Shah,
Harjai, 1952-04-04, Family drama,"Najma, Masood, Asif Jahh, Zeenat, Kalavati",Shafqat Shah,Akbar Bukhari,?,Fateh Ali Khan,?,?,?,
Khanabadosh, 1952-04-05, Family drama,"Manorma, Pran, Ajmal",?,Akbar Bukhari,?,?,?,?,?,
Nath, 1952-10-23, Family drama,"Hafeez Jahan, Haseeb, Talish, Zarif",Shafi Ejaz,T.H. Riaz,?,Qureshi,?,?,?,
Naveli, 1952-12-23, Family drama,"Gulshan Ara, Rehan, Sultan, M. Ismael",Haidar Shah,Anwar Beg,?,Qureshi,?,?,?,
Ghulam, 1953-01-07, Family drama,"Sabiha, Santosh, Shammi, Ragni, Asif Jah, Ajmal",Anwar Kemal Pasha,Anwar Kemal Pasha,?,Master Ghulam Haidar,?,"Munawar Sultana, Pukhraj Pappu, Fazal Hussain",?,
Sailab, 1953-02-25, Family drama,"Sabiha, Masood, Hamaliya Wala, Farida",N.E. Akhtar,Chodhary Sultan,?,Asghar Ali,?,?,?,
Shehri Babu, 1953-06-13, Romantic & musical film,"Sawran Lata, Santosh, Nazar, M. Ismael, Allauddin, Inayat Hussain Bhatti, Ghulam Mohammad, Zubaida Khanum",Nazir,Nazir,?,Rasheed Attray,?,?,?,
Awaz, 1953-06-13, Family drama,"Gulshan Ara, Santosh, Shah Nawaz, Ajmal, Allauddin",Khadim Mohayuddin,M.A. Shah,?,Hassan Latif,?,?,?,
Barkha, 1953-06-13, Family drama,"Shammi, Masood, Sabiha, Nazar, Asha Poslay, Sultan Khoost, Sheikh Hassan, Laddan, Nahid",Sheikh Hassan,Khadim Hussain,?,Tufail Farooqi,"Mushir Kazmi, Alama Latif Anwar","Munawar Sultana, Pukhraj Pappu, Zahida Parveen, Ali Bakhsh Zahoor",?,
Mehbooba, 1953-08-07, Family drama,"Shammi, Santosh, Darpan, Asha Poslay, M. Ismael, Hamaliya Wala, Akmal, (guest)",Luqman,Sharif Malik,?,Master Inayat Hussain,?,?,?,
Ilzam, 1953-10-09, Family drama,"Shammi, Rafiq Anwar, Naeem Hashmi, M. Ismale, Michal, Agha Pir Jan, Vilma Ras, Nawaz",Rafiq Anwar,Rafiq Anwar,Naeem Hashmi,"Asghar Ali, Mohammad Hussain","Naeem Hashmi, Abdul Majeed Bhatti, Aslam Hashmi, Yazdani Jalandhri","Zeenat Begum, Pukhraj Pappu, Inayat Hussain Bhatti",?,
Gulnar, 1953-11-06, Romantic & musical film,"Noorjahan, Santosh, Zarif, Shah Nawaz, Bibbo",Imtiaz Ali Taj,Mian Ehsan,Imtiaz Ali Taj,Master Ghulam Haidar,"Qateel Shafai, Tanvir Naqvi","Noorjahan, Roshan Ara Begum, Inayat Hussain Bhatti, Fazal Hussain",?,
Tarrap, 1953-11-27, Family drama,"Shammi, Sudhir, Gulshan Ara, Allauddin",Aslam Irani,F. D. Sheikh,?,"Asghar Ali, Mohammad Hussain","Mushir Kazmi, Anwar Batalvi, Hazin Qadri, Tanvir Naqvi, Munir Jeelani",?,?,
Aaghosh, 1953-12-25, Family drama,"Sabiha, Santosh, Gulshan Ara, M. Ismael, Shah Nawz",Murtaza Jilani,Tasaduq Riaz,?,Master Inayat Hussain,Saadat Hassan Manto,?,?,
Deevar, 1954-03-19, Family drama,"Gulshan Ara, Sudhir, Allauddin, Ghulam Mohammad, M. Ismael, Sahra, Amin Malik",Amin Malik,Begum Malik Sharif,Noor Mahal Pictures,"Feroz Nizami, Karim Dad Khan",?,Fazal Hussain,?,
Gumnam, 1954-03-26, Romantic & musical film,"Sabiha, Sudhir, Nasrin, Ragni, M. Ismael, Asif Jah, Ghulam Mohammad, Himaliya Wala, Seema, Akmal (xtra)",Anwar Kemal Pasha (ass. Jafar Malik),Agha G.A. Gul,Hakeem Ahmad Shujaa (screenplay: Anwar Kemal Pasha),Master Inayat Hussain,"Saifuddin Saif, Qateel Shafai","Iqbal Bano, Kousar Parveen, Fazal Hussain","Jafar Bukhari, A. Hameed","Make-up by: Asif Khan (Akmal) and Chrlie 
Editor: M. Akram
Production controller: M.S. Dar"
Raat ki Baat, 1954-06-03, Family drama,"Sabiha, Santosh, Gulshan Ara, Asif Jah, Allauddin",Anwar Kemal Pasha,Saifuddin Saif,?,Master Inayat Hussain,"Qateel Shafai, Saifuddin Saif",Inayat Hussain Bhatti,?,
Sassi, 1954-06-03, Folk story,"Sabiha, Sudhir, Asha Poslay, Nazar, Saleem Raza, Ghulam Mohammad, Shah Nawaz, Zeenat, Bibbo, Zeenat, Maya Devi, G.N. Butt, Begum Parveen, Sheikh Iqbal, Gul Zaman",Daud Chand (Revised by M.J. Rana),J. C. Anand,F.D. Sharf (dialogues: Shatir Ghaznavi and M.J. Rana),G.A. Chishti,Aziz Meeruti,"Kousar Parveen, Pukhraj Pappu, Inayat Hussain Bhatti",Riaz Ahmad,
Parvaz, 1954-08-06, Family drama,"Sabiha, Yousuf Khan, Asha Poslay, Nazar, Sharara, Majeed, Maya Devi, G.N. Butt",Ashfaq Malik,Ashfaq Malik,?,Rafiq Ghaznavi,?,?,?,
Ruhi, 1954-08-11, Family drama,"Shammi, Santosh, Hamaliya Wala, Majeed",W. Z. Ahmad,C. R. Golani,?,Rasheed Attray,Tufail Hoshiarpuri,"Najma Ara, Inayat Hussain Bhatti",?,
Mujrim, 1954-10-01, Family drama,"Gulshan Ara, Yousuf Khan, Nasreen, Allauddin",Khadim Mohayuddin,Mushtaq Malik,?,Hassan Latif,?,?,?,
Qatil, 1955-01-21, Musical & crime film,"Sabiha, Santosh, Musarrat Nazir, Nayyar Sultana, Aslam Parvez, Asif Jah, Bibbo, Azad, Ajmal, Akmal (xtra)","Anwar Kemal Pasha (also dialogs, screenplay)",G.A. Gul,Hakim Ahmad Shuja,Master Inayat Hussain,Qateel Shafai,"Kousar Parveen, Iqbal Bano, Saleem Raza",Rasheed Lodhy,Editor: M. Akram
Shararay, 1955-02-23, Family drama,"Ragni, S. Gul, Sudhir, Najma, Hamaliawala, Sadiq Ali, M. Ismael, Azad, Shah Nawaz, Yasmin (Zarina Reshma), Zarrin, Ghazala Mushtari, Majeed, Fazal Shah, Ghulam Qadir, Babbu, Maya Devi",Afzal Jahangir (ass. Qadeer Ghori),Afzal Jahangir,Afzal Jahangir (dialogues: Habib Ashar),Feroz Nizami,Tanvir Naqvi,"Munawar Sultana, Pukraj Pappu, Salma Begum, Inayat Hussain Bhatti, Fazal Hussain",Jafar Bukhari,
Khatoon, 1955-03-25, Family drama,"Sawran Lata, Nazir, Naeem, Shaad, Shahana",Nazir,Ismail Noor,?,Rasheed Attray,?,?,?,
Pattan, 1955-05-24, Family drama,"Musarrat Nazir, Santosh, Asha Poslay, Nazar, Allauddin, Sheikh Iqbal, M. Ismael",Luqman,Sheikh Latif,?,G.A. Chishti,?,"Zubaida Khanum, Inayat Hussain Bhatti",?,
Noukar, 1955-05-24, Family drama,"Sawran Lata, Nazir, Ragni, Shaad, Asha Poslay, Saleem Raza, A. Shah, Zeenat, Nadira, G.N.Butt, Imdad Hussain",Syed Atta Ullah Shah Hashmi (K. Kumar),Syed Atta Ullah Shah Hashmi,Shatir Ghaznavi (dialogues),G.A. Chishti (ass. Tasadduq Hussain),Qateel Shafai,"Kousar Parveen, Munawar Sultana, Saleem Raza",A. Hameed,
Sohni, 1955-05-24, Folk film,"Sabiha, Sudhir, Shammi, Nazar, Saleem Raza, Hamliyawala, Zeenat, A. Shah, Bibbo, Emi Minwala",M.J. Rana,M.A. Khan,Munshi Dil (dialoges: Shatir Ghaznavi),Feroz Nizami,"Qateel Shafai, Behzad Lakhnavi","Iqbal Bano, Saleem Raza",Riaz Ahmad,
Hamari Zaban, 1955-06-10, Political motivated film,"Beena, Sheikh Hassan, Luddan, Rashida",Sheikh Hassan,M. R. Khan,?,"Ghulam Nabi, Abdul Latif",Sheikh Hassan,?,?,
Mehfil, 1955-06-17, Family drama,"Sabiha, Sudhir, Ajmal, Sajida, Allauddin, Inayat Hussain Bhatti (guest)",Sharif Nayyar,Mairaj Deen,?,G.A. Chishti,?,?,?,
Bulbul, 1955-07-01, Family drama,"Asha Poslay, Sudhir, Nazar, Zarif, Zeenat, Allauddin, Ghulam Mohammad, Gul Zaman, Kamla, G.N. Butt",Daud Chand,Begum Malik Sharif,Shahjahan Begum,G.A. Chishti,"G.A. Chishti, Hazin Qadri, Waris Ludhyanvi","Pukhraj Pappu, Inayat Hussain Bhatti",A. Hameed,
Jheel Kinaray, 1955-07-31, Family drama,"Gulshan Ara, Sudhir, Zarif, Talish",Nazim Nakhuda,A. Majeed,?,Nazir Jafri,?,?,?,
Toofan, 1955-07-31, Family drama,"Sabiha, Sudhir, Shola, Asha Poslay, Zarif, Akmal, (guest)",Haidar Shah,Khawaja Kaleem,?,"G.A. Chishti, I.H. Qureshi","Saifuddin Saif, Zaheer Kashmiri","Kousar Parveen, Pukhraj Pappu, Inayat Hussain Bhatti, Fazal Hussain",?,
Nazrana, 1955-08-14, Family drama,"Ragni, Santosh, Nazar, Azad, Bibbo, Zeenat",Murtaza Jilani,Faqir Hussain Shah,?,Tufail Farooqi,Qateel Shafai,"Kousar Parveen, Inayat Hussain Bhatti",?,
Jallan, 1955-09-02, Family drama,"Nadra, Inayat Hussain Bhatti, Rakhshi, Zarif, Saleem Raza, M. Ismael, Ghulam Mohammad, Sheikh Iqbal, Diljeet Mirza, G.N. Butt",A. Hameed,Shabab Keranvi,?,Mohammad Ali Munno,"Saifuddin Saif, Shabab Keranvi, Mushir Kazmi","Inayat Hussain Bhatti,",Rasheed Chodhary,
Inteqam, 1955-09-23, Family drama,"Sabiha, Santosh, Shaheena, M. Ismael, Asif Jahh",Anwar Kemal Pasha,Anwar Kemal,?,Master Inayat Hussain,Hakim Ahmad Shuja,?,?,
Ilteja, 1955-10-07, Family drama,"Ragni, S. Gul, Yasmin, Saleem Raza",Chodhary Gul,S. Gul,?,Gul Haidar,"Qateel Shafai, M. Latif","Munawar Sultana, Kousar Parveen, Inayat Hussain Bhatti, Imdad Hussain",?,
Heer, 1955-10-28, Folk & musical film,"Sawran Lata, Inayat Hussain Bhatti, Nazar, Zeenat, Ajmal, Imdad Hussain, Muzaffar Jang, Rekha, Zaigham, Manzoor Dukhia, Jabbar",Nazir,J.C. Anand,Baba Alam Siaposh,Safdar Hussain,"Hazin Qadri, Waris Ludhyanvi","Munawar Sultana, Zubaida Khanum, Inayat Hussain Bhatti","Raza Mir, Shoukat Abbas",
Patay Khan, 1955-11-18, Romantic & musical film,"Noorjahan, Aslam Parvez, Zubaida Khanum, Musarrat Nazir, Zarif, Allauddin, M. Ismael, Rekha, Nazar",M.A. Rasheed,Islamuddin Shami,Hazin Qadri,Akhtar Hussain Akhian,Hazin Qadri,"Noorjahan, Zubaida Khanum, Inayat Hussain Bhatti, Fazal Hussain, Zarif",M. Abdullah,
Khizan kay Baad, 1955-12-23, Family drama,"Shammi, Sudhir, Asha Poslay, Allauddin",Ghulam Mohayuddin,S.M. Latif,?,Hassan Latif,?,?,?,
Intekhab, 1955-12-30, Family drama,"Jameela Razzaq, Masood, Nayyar Sultana, A. Shah",Humayun Mirza,Humayun Mirza,?,Feroz Nizami,Kaleem Usmani,?,?,
Dulla Bhatti, 1956-01-06, Folk film,"Sabiha, Sudhir, Asha Poslay, Asif Jah, M. Ismael, Allauddin, Rakhshi, Zeenat, Sheikh Iqbal, Rekha, Ghulam Mohammad, Akmal, Fazal Haq",M.S. Daar (Anwar Kemal Pasha as supervisor),G.A. Gul,Alam Siaposh,G.A. Chishti,Tufail Hoshiarpuri,"Munawar Sultana, Inayat Hussain Bhatti",Aslam Dar,Editor: M. AkramSound: Afzal Hussain
Anokhi, 1956-01-21, Family drama,"Sheila Ramani, Shaad, Lehri, Nayyar, Shah Nawaz, Ahmad Rushdi (guest)",Shahnawaz,Sheikh Latif Hassan,?,"Tamar Barn, Hassan Latif",?,"Munawar Sultana, Zubaida Khanum, Ahmad Rushdi",?,
Hameeda, 1956-02-10, Family drama,"Sabiha, Santosh, Ejaz, Shola, Zeenat, Nazir, Allauddin, Nusrat Kardar",Munshi Dil,Qazi Abid,?,Safdar Hussain,Munshi Dil,"Zubaida Khanum, Iqbal Bano, Saleem Raza",?,
Lakht-e-Jiggar, 1956-02-17, Romantic & musical film,"Noorjahan, Santosh, Yasmin, Habib",Luqman,G.A. Gul,?,G.A. Chishti,Saifuddin Saif,"Noorjahan, Munawar Zarif, Saleem Raza",?,
Mahi Munda, 1956-03-09, Family drama,"Musarrat Nazir, Sudhir, Ajmal, Zarif, Nazar, Ilyas Kashmiri, Zeenat, Ghulam Mohammad, Maya Devi, Neelo (extra)",M.J. Rana (also screenplay),Bari Malik,Sheikh Iqbal (dialog: Ahmad Rahi),G.A. Chishti,"F.D. Sharf, Tufail Hoshiarpuri, G.A. Chishti, Hazin Qadri, Waris Ludhyanvi, Ismael Matwala, Ahmad Rahi","Zubaida Khanum, Inayat Hussain Bhatti","Masood-ur-Rehman, Naseem Hussain",
Morni, 1956-03-12, Romantic film,"Yasmin, Inayat Hussain Bhatti, Asha Poslay, Zubaida Khanum, Nazar, Zarif, Allauddin, Nadira, Sheikh Iqbal, Ajmal, Ghulam Mohammad",Shakoor Qadri (also Screenplay),Ramzan Ashrafi,Sheikh Iqbal,G.A. Chishti,Hazin Qadri (also dialogues),"Zubaida Khanum, Kousar Parveen, Inayat Hussain Bhatti",Naseem Hussain,
Umar Marvi, 1956-03-12, Folk film,"Nighat Sultana, Fazlani, Noor Mohammad Charlie",Sheikh Hassan,Fazlani,?,"Ghulam Nabi, Abdul Latif",Qazi Abdur Rahim-Eashid Lashar,?,?,
Qismat, 1956-03-16, Family drama,"Musarrat Nazir, Santosh, Yasmin, Majeed, M. Ismael",Nazir Ajmeri,Ismail Noor,?,Feroz Nizami,Nazir Ajmeri,"Zubaida Khanum, Kousar Parveen, Saleem Raza, Fazal Hussain",?,
Funkar, 1956-03-30, Family drama,"Khurshid, Parvez, Jameela, Butt Kashir, Ghori",Mohammad Hassan,G. S. Malik,?,Tamar Barn,?,?,?,
Karnama, 1956-03-30, Family drama,"Klawati, Luddan, Sawan, Bibbo, Qamar",Iqbal Hussain,M. M. Khan,?,Nathoo Khan,Bezar Sarhadi,"Nazir Begum, Gulistan Khan, Ahmad Rushdi",?,
Chhoti Begum, 1956-05-10, Family drama,"Sabiha, Sudhir, Asha Poslay, Shola, Diljeet Mirza, Naeem Hashmi, Saleem Raza, Rekha, Majeed, A. Shah, G.N. Butt, Nazir Bedi, Nadira, Maya Devi, Ismael Qamar",Syed Atta Ullah Shah Hashmi,Malik Mehboob Ahmad,Shatir Ghaznavi,Tasadduq Hussain,Qateel Shafai,"Kousar Parveen, Saleem Raza","S. Srivastave, Rasheed Chodhary",
Peengan, 1956-05-12, Family drama,"Musarrat Nazir, Aslam Parvez, Asha Poslay, Zareef, Allauddin, Ghulam Mohammad, Kamla, Rakhsi, Sultan Khoost, Gita Nizami",Amin Malik,M. Naseem,Hazin Qadri (dialog: Ahmad Rahi),G.A. Chishti,Hazin Qadri,"Munawar Sultana, Zubaida Khanum, Kousar Parveen, Zarif..",Rasheed Chodhary,
Intezar, 1956-05-12, Romantic & musical film,"Noorjahan, Santosh, Asha Poslay, Rakhshi, Majeed, Ghulam Mohammad, Ashiq Hussain",Masood Parvez,"Sultan Jilani, Khursheed Anwar",Khursheed Anwar,Khursheed Anwar (ass. Manzoor),Qateel Shafai,"Noorjahan, Zubaida Khanum",Nabi Ahmad,Dialogues: Syed Imtiaz Ali Taj
Mirza Sahiban, 1956-05-30, Folk film,"Musarrat Nazir, Sudhir, Yasmin, Allauddin",Daud Chand,Begum Malik Sharif,?,Khawaja Khursheed Anwar,?,"Zubaida Khanum, Kousar Parveen, Saleem Raza",?,
Kanwari Beva, 1956-06-08, Family drama,"Shamim Ara, Ayaz, Nazar, Azad, Bibbo",Najam Naqvi,A. G. Mirza,?,Qadir Faridi,"Fyaz Hashmi, Tufail Hoshiarpuri","Kousar Parveen, Inayat Hussain Bhatti, Mehdi Hassan",?,
Sarfarosh, 1956-06-15, Action & musical film,"Sabiha, Santosh, Meena, Asif Jahh, Ghulam Mohammad, Rakhshi, Sheikh Iqbal, Allauddin",Anwar Kemal Pasha,Anwar Kemal,?,Rasheed Attray,Hakim Ahmad Shuja,?,?,
Mandi, 1956-06-29, Family drama,"Khurshid, Ayaz, Nighat, Bibbo, Ghori",Aziz Ahmad,Nisar Ahmad,?,Rafiq Ghaznavi,?,?,?,
Shikar, 1956-06-29, Family drama,"Safia Den, Rushdi, Ayaz, Ghori, Rafiq Anwar",Rafiq Anwar,Hussain Beg Mohammad,?,Asghar Ali,Hafeez Jalandhri,Mehdi Hassan,?,
